Brand,Mftr Code,Description,Long Description,Dove Code,RRP incl GST,Price,Qty,Category 1,Category 2,Category 3,Image URL,Product URL,Barcode,Current Due Date,Stock Classification
SilverStone,SST-ECS06,SIlverstone ECS06 SATA III PCI Express card 6-port,"PCIe Gen3 x2 with ASMedia ASM1166 SATA host controller (AHCI)
Compliant with AHCI Specification Rev. 1.4
Support six SATA Gen3 (6Gbps) ports
Support SATA port multiplier command based switching
Support device sleep power management
Low profile design",AC813,169,89,0,IO Cards,Unspecified,Unspecified,https://www.dove.co.nz/images/products/22527-181577.jpg,https://www.dove.co.nz/jump/22527,4.71068E+12,45 day(s),
Digitus,DS-30040-2,Digitus PCIe Interface Card 2xSerial 1xParallel,"PCI Express I/O controller Card With low profile brackets, Multi-I/O PCIe card, 2x DB9 serial ports, UART16C450/550, 1x DB25 parallel port, Windows 8, 7, Vista, XP, Server 2003, Win 10 driver http://ftp.assmann.com/pub/DS-/DS-30040-2___4016032317760/DS-30040-2_driver_Driver%20Win10_20160728.rar
",AC825,99,42.8,21,IO Cards,Unspecified,Unspecified,https://www.dove.co.nz/images/products/3356-411037.jpg,https://www.dove.co.nz/jump/3356,4.01603E+12,0 day(s),
Digitus,DS-30220-4,Digitus PCIE USB3.0 2-Port Add-On Card,"Quick and easy way to add USB 3.0 to your computer, Downward compatible to USB 2.0/1.1 devices, Supports Windows 10, 8, 7, Vista and XP, Includes Low Profile bracket & driver cd, Chipset: NEC UPD720202",AC832,49.9,20,1,IO Cards,Unspecified,Unspecified,https://www.dove.co.nz/images/products/14125-3312111.jpg,https://www.dove.co.nz/jump/14125,4.01603E+12,0 day(s),
Viewsonic,VG1655,ViewSonic VG1655 15.6" FHD USB Type-C Portable Monitor,"15.6"" IPS Panel, FHD 1920 x 1080 Res, 6.5ms Response, 1xMini HDMI 2 , 2xUSB 3.2 GEN 1 Type-C, 2x0.8W Speakers, 0.8kg, 355 x 223 x 16mm",AF1655,699,477,0,Monitors,Unspecified,Unspecified,https://www.dove.co.nz/images/products/21995-310309.jpg,https://www.dove.co.nz/jump/21995,7.66907E+11,23-Sep-22,
Viewsonic,TD1655,ViewSonic TD1655 15.6" FHD USB Type-C Portable Touch Monitor,"15.6"" 10-point touch projective capacitive panel, FHD 1920 x 1080 Res, 6.5ms Response, 1xMini HDMI 2 , 2xUSB 3.2 GEN 1 Type-C, 2x0.8W Speakers, 0.8kg, 355 x 223 x 16mm",AF1656,799,589,1,Monitors,Touchscreens,Unspecified,https://www.dove.co.nz/images/products/21996-1910309.jpg,https://www.dove.co.nz/jump/21996,7.66907E+11,40 day(s),
Viewsonic,VA2432-MHD,ViewSonic VA2432-MHD 24" 1920x1080 FHD IPS Monitor VGA HDMI DP 75Hz,"23.8"" Anti Glare IPS panel, FHD Max Res, 1xVGA 1xHDMI 1xDP, Speakers, VESA 75x75mm, Blue-Light Filter, Flicker-Free, 3 yr Warranty
Frameless Design, Freesync Adaptive Sync 48 - 75Hz.
Includes HDMI cable

SCREEN NEEDS SPECIAL SCREWS IF MOUNTING - 4x 6mm screws required. Most VESA mounts only come with 14mm screws.",AF2432,449,299,0,Monitors,Unspecified,Unspecified,https://www.dove.co.nz/images/products/21478-010115.jpg,https://www.dove.co.nz/jump/21478,7.66907E+11,23-Sep-22,
Viewsonic,VG2440V,ViewSonic VG2440V 24" 1920x1080 VGA HDMI DP Webcam,"23.8""  IPS panel, Full HD 1920x1080 Max Res, 5ms Response, 1xVGA 1xHDMI 1xDisplay Port, 2xUSB, 2x2W Speakers, VESA 100mm, 1XDisplay Port Cable, 3yr Warranty
2 MP Webcam",AF2440V,499,299,31,Monitors,Unspecified,Unspecified,https://www.dove.co.nz/images/products/22345-11765.jpg,https://www.dove.co.nz/jump/22345,7.66907E+11,0 day(s),
Viewsonic,VG2448,ViewSonic VG2448 24" 1920x1080 HDMI DP Ergo Monitor,"23.8""  IPS panel, Full HD 1920x1080 Max Res, 14ms Response, 1xHDMI 1xDisplay Port, 4xUSB, 2x2W Speakers, VESA 100mm, 1XDisplay Port Cable, 3yr Warramty, Ergo Base - Height Adjust 130mm, Swivel 120°, Pivot 90°, Tilt 5°  - 40°, Cloud client mount on stand, eco-friendly biodegradable packaging.",AF2448,499,338,31,Monitors,Unspecified,Unspecified,https://www.dove.co.nz/images/products/18258-310142.jpg,https://www.dove.co.nz/jump/18258,7.66908E+11,0 day(s),
Viewsonic,VG2455,ViewSonic VG2455 23.8" 1920x1080 FHD DP USB Monitor Ergo stand,"23.8"" Anti Glare IPS panel, 1920x1080 Max Res, 5ms Response, 1000:1, 50M:1 DCR Contrast Ratio, 1xHDMI 1xDisplay Port, 4xUSB, 1x USB type-C, 1x VGA, 2x2W Speakers, Ergonomic Base - Height Adjust, 120deg Swivel, 90deg Pivot & Tilt, 3 yr limited Warranty. VESA 100 x 100mm. 
NUC mount, Incl DP cable, eco-friendly biodegradable packaging.",AF2455,449,345,25,Monitors,Unspecified,Unspecified,https://www.dove.co.nz/images/products/20657-1215119.jpg,https://www.dove.co.nz/jump/20657,,0 day(s),
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
